prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
482,CL_SO,SO-R809-L,Racing Socks- L,3,Road,2013-07-01,
481,CL_SO,SO-R809-M,Racing Socks- M,3,Road,2013-07-01,
458,CL_TI,TG-W091-L,Women's Tights- L,31,Other Sales,2012-07-01,
457,CL_TI,TG-W091-M,Women's Tights- M,31,Other Sales,2012-07-01,
456,CL_TI,TG-W091-S,Women's Tights- S,31,Other Sales,2012-07-01,
473,CL_VE,VE-C304-L,Classic Vest- L,24,Other Sales,2013-07-01,
472,CL_VE,VE-C304-M,Classic Vest- M,24,Other Sales,2013-07-01,
471,CL_VE,VE-C304-S,Classic Vest- S,24,Other Sales,2013-07-01,
601,CO_BB,BB-7421,LL Bottom Bracket,24,n/a,2013-07-01,
602,CO_BB,BB-8107,ML Bottom Bracket,45,n/a,2013-07-01,
603,CO_BB,BB-9108,HL Bottom Bracket,54,n/a,2013-07-01,
555,CO_BR,FB-9873,Front Brakes,47,n/a,2013-07-01,
514,CO_BR,RB-9231,Rear Brakes,47,n/a,2013-07-01,
559,CO_CH,CH-0234,Chain,9,n/a,2013-07-01,
556,CO_CS,CS-4759,LL Crankset,78,n/a,2013-07-01,
557,CO_CS,CS-6583,ML Crankset,114,n/a,2013-07-01,
558,CO_CS,CS-9183,HL Crankset,180,n/a,2013-07-01,
552,CO_DE,FD-2342,Front Derailleur,41,n/a,2013-07-01,
501,CO_DE,RD-2308,Rear Derailleur,54,n/a,2013-07-01,
391,CO_FO,FK-1639,LL Fork,66,n/a,2012-07-01,
392,CO_FO,FK-5136,ML Fork,78,n/a,2012-07-01,
393,CO_FO,FK-9939,HL Fork,102,n/a,2012-07-01,
397,CO_HB,HB-M243,LL Mountain Handlebars,18,Mountain,2012-07-01,2013-06-30
398,CO_HB,HB-M243,LL Mountain Handlebars,20,Mountain,2013-07-01,
399,CO_HB,HB-M763,ML Mountain Handlebars,25,Mountain,2012-07-01,2013-06-30
400,CO_HB,HB-M763,ML Mountain Handlebars,27,Mountain,2013-07-01,
401,CO_HB,HB-M918,HL Mountain Handlebars,49,Mountain,2012-07-01,2013-06-30
402,CO_HB,HB-M918,HL Mountain Handlebars,53,Mountain,2013-07-01,
403,CO_HB,HB-R504,LL Road Handlebars,18,Road,2012-07-01,2013-06-30
404,CO_HB,HB-R504,LL Road Handlebars,20,Road,2013-07-01,
405,CO_HB,HB-R720,ML Road Handlebars,25,Road,2012-07-01,2013-06-30
406,CO_HB,HB-R720,ML Road Handlebars,27,Road,2013-07-01,
407,CO_HB,HB-R956,HL Road Handlebars,49,Road,2012-07-01,2013-06-30
408,CO_HB,HB-R956,HL Road Handlebars,53,Road,2013-07-01,
553,CO_HB,HB-T721,LL Touring Handlebars,20,Touring,2013-07-01,
554,CO_HB,HB-T928,HL Touring Handlebars,41,Touring,2013-07-01,
394,CO_HS,HS-0296,LL Headset,15,n/a,2012-07-01,
395,CO_HS,HS-2451,ML Headset,45,n/a,2012-07-01,
396,CO_HS,HS-3479,HL Headset,55,n/a,2012-07-01,
550,CO_MF,FR-M21B-40,LL Mountain Frame - Black- 40,137,Mountain,2013-07-01,
531,CO_MF,FR-M21B-42,LL Mountain Frame - Black- 42,137,Mountain,2013-07-01,
532,CO_MF,FR-M21B-44,LL Mountain Frame - Black- 44,137,Mountain,2013-07-01,
533,CO_MF,FR-M21B-48,LL Mountain Frame - Black- 48,137,Mountain,2013-07-01,
534,CO_MF,FR-M21B-52,LL Mountain Frame - Black- 52,137,Mountain,2013-07-01,
551,CO_MF,FR-M21S-40,LL Mountain Frame - Silver- 40,145,Mountain,2013-07-01,
524,CO_MF,FR-M21S-42,LL Mountain Frame - Silver- 42,145,Mountain,2013-07-01,
525,CO_MF,FR-M21S-44,LL Mountain Frame - Silver- 44,145,Mountain,2013-07-01,
526,CO_MF,FR-M21S-48,LL Mountain Frame - Silver- 48,145,Mountain,2013-07-01,
527,CO_MF,FR-M21S-52,LL Mountain Frame - Silver- 52,145,Mountain,2013-07-01,
409,CO_MF,FR-M63B-38,ML Mountain Frame - Black- 38,186,Mountain,2012-07-01,
426,CO_MF,FR-M63B-40,ML Mountain Frame - Black- 40,186,Mountain,2012-07-01,
427,CO_MF,FR-M63B-44,ML Mountain Frame - Black- 44,186,Mountain,2012-07-01,
428,CO_MF,FR-M63B-48,ML Mountain Frame - Black- 48,186,Mountain,2012-07-01,
549,CO_MF,FR-M63S-38,ML Mountain Frame-W - Silver- 38,199,Mountain,2013-07-01,
511,CO_MF,FR-M63S-40,ML Mountain Frame-W - Silver- 40,199,Mountain,2013-07-01,
512,CO_MF,FR-M63S-42,ML Mountain Frame-W - Silver- 42,199,Mountain,2013-07-01,
513,CO_MF,FR-M63S-46,ML Mountain Frame-W - Silver- 46,199,Mountain,2013-07-01,
304,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,617,Mountain,2011-07-01,2012-06-30
305,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,654,Mountain,2012-07-01,2013-06-30
306,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,739,Mountain,2013-07-01,
296,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,617,Mountain,2011-07-01,2012-06-30
297,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,654,Mountain,2012-07-01,2013-06-30
298,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,739,Mountain,2013-07-01,
299,CO_MF,FR-M94B-44,HL Mountain Frame - Black- 44,699,Mountain,2011-07-01,
301,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,617,Mountain,2011-07-01,2012-06-30
302,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,654,Mountain,2012-07-01,2013-06-30
303,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,739,Mountain,2013-07-01,
300,CO_MF,FR-M94B-48,HL Mountain Frame - Black- 48,699,Mountain,2011-07-01,
307,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,624,Mountain,2011-07-01,2012-06-30
308,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,661,Mountain,2012-07-01,2013-06-30
309,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,747,Mountain,2013-07-01,
288,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,624,Mountain,2011-07-01,2012-06-30
289,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,661,Mountain,2012-07-01,2013-06-30
290,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,747,Mountain,2013-07-01,
291,CO_MF,FR-M94S-44,HL Mountain Frame - Silver- 44,707,Mountain,2011-07-01,
293,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,624,Mountain,2011-07-01,2012-06-30
294,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,661,Mountain,2012-07-01,2013-06-30
295,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,747,Mountain,2013-07-01,
292,CO_MF,FR-M94S-52,HL Mountain Frame - Silver- 48,707,Mountain,2011-07-01,
542,CO_PE,PD-M282,LL Mountain Pedal,18,Mountain,2013-07-01,
543,CO_PE,PD-M340,ML Mountain Pedal,28,Mountain,2013-07-01,
544,CO_PE,PD-M562,HL Mountain Pedal,36,Mountain,2013-07-01,
545,CO_PE,PD-R347,LL Road Pedal,18,Road,2013-07-01,
546,CO_PE,PD-R563,ML Road Pedal,28,Road,2013-07-01,
547,CO_PE,PD-R853,HL Road Pedal,36,Road,2013-07-01,
548,CO_PE,PD-T852,Touring Pedal,36,Touring,2013-07-01,
279,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,176,Road,2011-07-01,2012-06-30
280,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,170,Road,2012-07-01,2013-06-30
281,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,205,Road,2013-07-01,
282,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,176,Road,2011-07-01,2012-06-30
283,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,170,Road,2012-07-01,2013-06-30
284,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,205,Road,2013-07-01,
285,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,176,Road,2011-07-01,2012-06-30
286,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,170,Road,2012-07-01,2013-06-30
287,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,205,Road,2013-07-01,
253,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,176,Road,2011-07-01,2012-06-30
254,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,170,Road,2012-07-01,2013-06-30
255,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,205,Road,2013-07-01,
256,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,176,Road,2011-07-01,2012-06-30
257,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,170,Road,2012-07-01,2013-06-30
258,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,205,Road,2013-07-01,
259,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,176,Road,2011-07-01,2012-06-30
260,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,170,Road,2012-07-01,2013-06-30
261,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,205,Road,2013-07-01,
262,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,181,Road,2011-07-01,2012-06-30
263,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,187,Road,2012-07-01,
264,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,181,Road,2011-07-01,2012-06-30
265,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,187,Road,2012-07-01,
266,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,181,Road,2011-07-01,2012-06-30
267,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,187,Road,2012-07-01,
268,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,181,Road,2011-07-01,2012-06-30
269,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,187,Road,2012-07-01,
270,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,181,Road,2011-07-01,2012-06-30
271,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,187,Road,2012-07-01,
272,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,181,Road,2011-07-01,2012-06-30
273,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,187,Road,2012-07-01,
274,CO_RF,FR-R72R-44,ML Road Frame - Red- 44,352,Road,2011-07-01,
275,CO_RF,FR-R72R-48,ML Road Frame - Red- 48,352,Road,2011-07-01,
276,CO_RF,FR-R72R-52,ML Road Frame - Red- 52,352,Road,2011-07-01,
277,CO_RF,FR-R72R-58,ML Road Frame - Red- 58,352,Road,2011-07-01,
278,CO_RF,FR-R72R-60,ML Road Frame - Red- 60,352,Road,2011-07-01,
417,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,300,Road,2012-07-01,2013-06-30
418,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,361,Road,2013-07-01,
429,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,300,Road,2012-07-01,2013-06-30
430,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,361,Road,2013-07-01,
431,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,300,Road,2012-07-01,2013-06-30
432,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,361,Road,2013-07-01,
433,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,300,Road,2012-07-01,2013-06-30
434,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,361,Road,2013-07-01,
435,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,300,Road,2012-07-01,2013-06-30
436,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,361,Road,2013-07-01,
439,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,722,Road,2012-07-01,2013-06-30
440,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,869,Road,2013-07-01,
441,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,722,Road,2012-07-01,2013-06-30
442,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,869,Road,2013-07-01,
443,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,722,Road,2012-07-01,2013-06-30
444,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,869,Road,2013-07-01,
210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,
437,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,722,Road,2012-07-01,2013-06-30
438,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,869,Road,2013-07-01,
241,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,748,Road,2011-07-01,2012-06-30
242,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,722,Road,2012-07-01,2013-06-30
243,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,869,Road,2013-07-01,
244,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,748,Road,2011-07-01,2012-06-30
245,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,722,Road,2012-07-01,2013-06-30
246,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,869,Road,2013-07-01,
247,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,748,Road,2011-07-01,2012-06-30
248,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,722,Road,2012-07-01,2013-06-30
249,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,869,Road,2013-07-01,
250,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,748,Road,2011-07-01,2012-06-30
251,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,722,Road,2012-07-01,2013-06-30
252,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,869,Road,2013-07-01,
211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,
238,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,748,Road,2011-07-01,2012-06-30
239,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,722,Road,2012-07-01,2013-06-30
240,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,869,Road,2013-07-01,
515,CO_SA,SE-M236,LL Mountain Seat/Saddle,12,Mountain,2013-07-01,
516,CO_SA,SE-M798,ML Mountain Seat/Saddle,17,Mountain,2013-07-01,
517,CO_SA,SE-M940,HL Mountain Seat/Saddle,23,Mountain,2013-07-01,
518,CO_SA,SE-R581,LL Road Seat/Saddle,12,Road,2013-07-01,
519,CO_SA,SE-R908,ML Road Seat/Saddle,17,Touring,2013-07-01,
520,CO_SA,SE-R995,HL Road Seat/Saddle,23,Road,2013-07-01,
521,CO_SA,SE-T312,LL Touring Seat/Saddle,12,Touring,2013-07-01,
522,CO_SA,SE-T762,ML Touring Seat/Saddle,17,Touring,2013-07-01,
523,CO_SA,SE-T924,HL Touring Seat/Saddle,23,Touring,2013-07-01,
510,CO_TF,FR-T67U-44,LL Touring Frame - Blue- 44,200,Touring,2013-07-01,
502,CO_TF,FR-T67U-50,LL Touring Frame - Blue- 50,200,Touring,2013-07-01,
503,CO_TF,FR-T67U-54,LL Touring Frame - Blue- 54,200,Touring,2013-07-01,
504,CO_TF,FR-T67U-58,LL Touring Frame - Blue- 58,200,Touring,2013-07-01,
505,CO_TF,FR-T67U-62,LL Touring Frame - Blue- 62,200,Touring,2013-07-01,
506,CO_TF,FR-T67Y-44,LL Touring Frame - Yellow- 44,200,Touring,2013-07-01,
507,CO_TF,FR-T67Y-50,LL Touring Frame - Yellow- 50,200,Touring,2013-07-01,
508,CO_TF,FR-T67Y-54,LL Touring Frame - Yellow- 54,200,Touring,2013-07-01,
509,CO_TF,FR-T67Y-58,LL Touring Frame - Yellow- 58,200,Touring,2013-07-01,
493,CO_TF,FR-T67Y-62,LL Touring Frame - Yellow- 62,200,Touring,2013-07-01,
497,CO_TF,FR-T98U-46,HL Touring Frame - Blue- 46,602,Touring,2013-07-01,
498,CO_TF,FR-T98U-50,HL Touring Frame - Blue- 50,602,Touring,2013-07-01,
499,CO_TF,FR-T98U-54,HL Touring Frame - Blue- 54,602,Touring,2013-07-01,
500,CO_TF,FR-T98U-60,HL Touring Frame - Blue- 60,602,Touring,2013-07-01,
494,CO_TF,FR-T98Y-46,HL Touring Frame - Yellow- 46,602,Touring,2013-07-01,
495,CO_TF,FR-T98Y-50,HL Touring Frame - Yellow- 50,602,Touring,2013-07-01,
496,CO_TF,FR-T98Y-54,HL Touring Frame - Yellow- 54,602,Touring,2013-07-01,
492,CO_TF,FR-T98Y-60,HL Touring Frame - Yellow- 60,602,Touring,2013-07-01,
410,CO_WH,FW-M423,LL Mountain Front Wheel,27,Mountain,2012-07-01,
411,CO_WH,FW-M762,ML Mountain Front Wheel,93,Mountain,2012-07-01,
412,CO_WH,FW-M928,HL Mountain Front Wheel,133,Mountain,2012-07-01,
413,CO_WH,FW-R623,LL Road Front Wheel,38,Road,2012-07-01,
414,CO_WH,FW-R762,ML Road Front Wheel,110,Road,2012-07-01,
415,CO_WH,FW-R820,HL Road Front Wheel,147,Road,2012-07-01,
416,CO_WH,FW-T905,Touring Front Wheel,97,Touring,2012-07-01,
419,CO_WH,RW-M423,LL Mountain Rear Wheel,39,Mountain,2012-07-01,
420,CO_WH,RW-M762,ML Mountain Rear Wheel,105,Mountain,2012-07-01,
421,CO_WH,RW-M928,HL Mountain Rear Wheel,145,Mountain,2012-07-01,
422,CO_WH,RW-R623,LL Road Rear Wheel,50,Road,2012-07-01,
423,CO_WH,RW-R762,ML Road Rear Wheel,122,Road,2012-07-01,
424,CO_WH,RW-R820,HL Road Rear Wheel,159,Road,2012-07-01,
425,CO_WH,RW-T905,Touring Rear Wheel,109,Touring,2012-07-01,
